--- Terminal on /dev/ttyUSB0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
GEARS MODE
[FeedbackStepper] Shift from 0 to -293872
Expected (avg) delay: 485	Measured (avg) delay: 518.31
Encoder reading: -356454		Average error: -0.64
Total correction: 12876
-80	-86	-12
-80	-91	-8
-80	-93	-7
-80	-103	0
-80	-110	5
-80	-118	12
-80	-113	8
-80	-125	17
-80	-125	17
-80	-112	7
-80	-118	12
-80	-109	5
-80	-101	-1
-80	-91	-8
-80	-89	-10
-80	-86	-12
-80	-79	-18
-80	-82	-15
-80	-82	-15
-80	-85	-13
-80	-82	-15
-80	-94	-6
-80	-100	-1
-80	-102	0
-80	-118	12
-80	-125	17
-80	-133	23
-80	-133	23
-80	-135	25
-80	-135	25
-80	-120	13
-80	-116	10
-80	-109	5
-80	-98	-3
-80	-87	-12
-80	-87	-12
-80	-83	-15
-80	-77	-19
-80	-82	-15
-80	-82	-15
-80	-87	-12
-80	-87	-12
-80	-95	-5
-80	-106	2
-80	-104	1
-80	-115	9
-80	-123	16
-80	-124	16
-80	-117	11
-80	-123	16
-80	-113	8
-80	-104	1
-80	-103	0
-80	-94	-6
-80	-91	-8
-80	-81	-16
-80	-82	-15
-80	-83	-15
-80	-77	-19
-80	-85	-13
-80	-88	-11
-80	-92	-8
-80	-96	-4
-80	-108	4
-80	-116	10
-80	-120	13
-80	-134	24
-80	-136	26
-80	-140	29
-80	-126	18
-80	-126	18
-80	-117	11
-80	-101	-1
-80	-100	-1
-80	-93	-7
-80	-85	-13
-80	-80	-17
-80	-81	-16
-80	-81	-16
-80	-79	-18
-80	-86	-12
-80	-91	-8
-80	-99	-2
-80	-96	-4
-80	-111	6
-80	-117	11
-80	-113	8
-80	-126	18
-80	-124	16
-80	-120	13
-80	-110	5
-80	-109	5
-80	-102	0
-80	-91	-8
-80	-89	-10
-80	-86	-12
-80	-84	-14
-80	-76	-20
-80	-83	-15
-80	-84	-14
-80	-87	-12
-80	-90	-9
-80	-99	-2
-80	-109	5
-80	-112	7
-80	-124	16
-80	-135	25
-80	-137	27
-80	-130	21
-80	-135	25
-80	-124	16
-80	-112	7
-80	-108	4
-80	-98	-3
-80	-93	-7
-80	-82	-15
-80	-83	-15
-80	-82	-15
-80	-76	-20
-80	-83	-15
-80	-87	-12
-80	-91	-8
-80	-92	-8
-80	-104	1
-80	-109	5
-80	-112	7
-80	-121	14
-80	-123	16
-80	-124	16
-80	-115	9
-80	-115	9
-80	-111	6
-80	-96	-4
-80	-95	-5
-80	-91	-8
-80	-85	-13
-80	-78	-19
-80	-82	-15
-80	-82	-15
-80	-80	-17
-80	-88	-11
-80	-93	-7
-80	-100	-1
-80	-103	0
-80	-117	11
-80	-127	19
-80	-124	16
-80	-139	28
-80	-138	27
-80	-132	23
-80	-122	15
-80	-116	10
-80	-107	3
-80	-100	-1
-80	-86	-12
-80	-87	-12
-80	-84	-14
-80	-76	-20
-80	-82	-15
-80	-83	-15
-80	-86	-12
-80	-87	-12
-80	-97	-4
-80	-103	0
-80	-105	2
-80	-116	10
-80	-121	14
-80	-125	17
-80	-117	11
-80	-120	13
-80	-118	12
-80	-102	0
-80	-102	0
-80	-97	-4
-80	-88	-11
-80	-82	-15
-80	-83	-15
-80	-81	-16
-80	-79	-18
-80	-83	-15
-80	-89	-10
-80	-94	-6
-80	-94	-6
-80	-110	5
-80	-115	9
-80	-119	12
-80	-135	25
-80	-136	26
-80	-132	23
-80	-134	24
-80	-125	17
-80	-117	11
-80	-103	0
-80	-99	-2
-80	-92	-8
-80	-82	-15
-80	-84	-14
-80	-81	-16
-80	-81	-16
-80	-80	-17
-80	-85	-13
-80	-91	-8
-80	-92	-8
-80	-103	0
-80	-111	6
-80	-117	11
-80	-154	40
-80	-40	-48
-80	-27	-58
-80	-15	-68
-81	-86	-13
-80	-127	20
-84	-122	11
-88	-123	8
-80	-101	-1
-80	-93	-7
-80	-84	-14
-80	-82	-15
-80	-81	-16
-80	-79	-18
-80	-83	-15
-80	-84	-14
-80	-82	-15
-80	-92	-8
-80	-97	-4
-80	-108	4
-80	-110	5
-80	-123	16
-80	-131	22
-80	-131	22
-80	-136	26
-80	-137	27
-80	-127	19
-80	-112	7
-80	-111	6
-80	-100	-1
-80	-89	-10
-80	-89	-10
-80	-82	-15
-80	-83	-15
-80	-76	-20
-80	-82	-15
-80	-86	-12
-80	-89	-10
-80	-91	-8
-80	-103	0
-80	-108	4
-80	-109	5
-80	-121	14
-80	-123	16
-80	-125	17
-80	-115	9
-80	-116	10
-80	-111	6
-80	-105	2
-80	-90	-9
-80	-93	-7
-80	-85	-13
-80	-79	-18
-80	-83	-15
-80	-81	-16
-80	-79	-18
-80	-88	-11
-80	-91	-8
-80	-100	-1
-80	-100	-1
-80	-115	9
-80	-124	16
-80	-124	16
-80	-138	27
-80	-139	28
-80	-134	24
-80	-121	14
-80	-120	13
-80	-109	5
-80	-96	-4
-80	-94	-6
-80	-86	-12
-80	-85	-13
-80	-77	-19
-80	-81	-16
-96	-101	-17
-80	-81	-16
-80	-90	-9
-80	-99	-2
-80	-96	-4
-80	-111	6
-80	-117	11
-80	-120	13
-80	-119	12
-80	-123	16
-80	-121	14
-80	-111	6
-80	-108	4
-80	-103	0
-80	-95	-5
-80	-85	-13
-80	-87	-12
-80	-82	-15
-80	-78	-19
-80	-82	-15
-80	-84	-14
-80	-88	-11
-80	-89	-10
-80	-99	-2
-80	-110	5
-80	-109	5
-80	-125	17
-80	-135	25
-80	-135	25
-80	-132	23
-80	-135	25
-80	-125	17
-80	-117	11
-80	-102	0
-80	-99	-2
-80	-93	-7
-80	-81	-16
-80	-84	-14
-80	-82	-15
-80	-80	-17
-80	-80	-17
-80	-86	-12
-80	-90	-9
-80	-98	-3
-80	-98	-3
-80	-109	5
-80	-118	12
-80	-114	9
-80	-124	16
-80	-125	17
-80	-113	8
-80	-116	10
-80	-111	6
-80	-100	-1
-80	-92	-8
-80	-90	-9
-80	-85	-13
-80	-79	-18
-80	-82	-15
-80	-82	-15
-80	-85	-13
-80	-82	-15
-80	-93	-7
-80	-101	-1
-80	-101	-1
-80	-118	12
-80	-128	20
-80	-130	21
-80	-132	23
-80	-138	27
-80	-132	23
-80	-122	15
-80	-116	10
-80	-108	4
-80	-100	-1
-80	-87	-12
-80	-86	-12
-80	-84	-14
-80	-76	-20
-80	-82	-15
-80	-82	-15
-80	-87	-12
-80	-120	13
-80	-22	-62
-80	-13	-69
-81	-79	-19
-80	-111	6
-80	-114	9
-80	-126	18
-80	-122	15
-80	-125	17
-80	-121	14
-80	-113	8
-80	-104	1
-80	-102	0
-80	-99	-2
-80	-93	-7
-80	-82	-15
-80	-85	-13
-80	-81	-16
-80	-82	-15
-80	-79	-18
-80	-86	-12
-80	-90	-9
-80	-98	-3
-80	-99	-2
-80	-113	8
-80	-123	16
-80	-122	15
-80	-138	27
-80	-137	27
-80	-136	26
-80	-125	17
-80	-119	12
-80	-112	7
-80	-103	0
-80	-88	-11
-80	-90	-9
-80	-84	-14
-80	-78	-19
-80	-81	-16
-80	-81	-16
-80	-82	-15
-80	-87	-12
-80	-95	-5
-80	-102	0
-80	-101	-1
-80	-114	9
-80	-121	14
-80	-115	9
-80	-126	18
